Thread 4	290200	103254900
Thread 3	500100	54358500
Thread 4	416000	85433800
Thread 1	634600	100766200
Thread 2	576100	128586100
Thread 3	417200	46868900
Thread 4	314700	89697000
Thread 2	361100	93144000
Thread 1	451100	99418300
Thread 1	419200	29640300
Thread 2	394800	58301300
Thread 3	269500	92817700
Thread 4	331900	103892500
Thread 1	541500	29978900
Thread 4	362600	90291100
Thread 3	400200	95884600
Thread 2	524500	101179800
Thread 3	403200	113530300
Thread 2	482000	128999700
Thread 1	518600	128336400
Thread 4	363200	112577300
Thread 1	497300	28182000
Thread 2	470700	50271000
Thread 4	361500	81615700
Thread 3	396400	91131800
Thread 1	440000	36132100
Thread 3	312100	108319500
Thread 4	403500	110725800
Thread 2	478600	121825400
Thread 1	464800	36809600
Thread 2	460200	68367200
Thread 4	346900	109688300
Thread 3	420500	123182900
Thread 1	440100	29828400
Thread 2	419000	56133800
Thread 4	302600	92039500
Thread 3	342100	102054800
Thread 4	354300	29483300
Thread 3	418400	55147300
Thread 2	483100	90068300
Thread 1	493900	100064500
Thread 3	417000	35206900
Thread 4	320800	67098500
Thread 1	533100	109601000
Thread 2	481100	120870600
Thread 2	359800	33420200
Thread 4	405900	61764200
Thread 3	457600	80570100
Thread 1	471400	99836000
Thread 1	416200	29803900
Thread 3	419700	54748200
Thread 4	291500	88799000
Thread 2	336600	98695900
Thread 1	392200	31377400
Thread 3	363900	60292700
Thread 2	306200	97130700
Thread 4	239000	113495600
Thread 1	378700	33445400
Thread 2	364100	62834100
Thread 3	277900	103032100
Thread 4	194500	115036900
Thread 1	421200	30166100
Thread 4	287300	55690400
Thread 2	346600	89041700
Thread 3	382200	98950900
Thread 1	604900	30748900
Thread 2	580700	56273200
Thread 3	519500	97027300
Thread 4	458800	109301700
Thread 2	456600	51754500
Thread 3	379200	94422000
Thread 1	458600	101700300
Thread 4	313100	117638900
Thread 1	461200	32254300
Thread 3	346400	68292300
Thread 2	427700	97249000
Thread 4	262100	117363600
Thread 1	398100	34866100
Thread 4	257100	60521700
